outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,SE,df
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,01,NA,NA,NA,11.850815102886,6.25005478424877,17.4515754215232,2.82105501549526,94.6618912663279
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,02,NA,NA,NA,12.4017335674423,8.14739193789923,16.6560751969853,2.14288799824982,94.7047309354453
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,03,NA,NA,NA,12.1157464652439,7.59996081783035,16.6315321126574,2.25899335255127,61.9157171337735
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,04,NA,NA,NA,14.8814192358494,9.86963382050868,19.8932046511901,2.52444387050669,94.8083239755736
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,05,NA,NA,NA,12.2218606020038,5.86579007995582,18.577931124051705,3.20162875426277,94.9608196449865
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,06,NA,NA,NA,14.6548516667952,8.17231026004615,21.1373930735442,3.26525487092852,94.7835956875766
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,07,NA,NA,NA,10.902728282721,5.69881058442063,16.1066459810214,2.62109407609549,94.453916183816
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,08,NA,NA,NA,14.5042724734248,9.01570769352991,19.9928372533196,2.75831591478496,80.6304603031953
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,09,NA,NA,NA,11.1964308252809,6.35580890078278,16.037052749779,2.43806659617025,94.3235274566363
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,10,NA,NA,NA,12.7461042190929,7.82154606213071,17.6706623760551,2.48052063177773,94.8475623997322
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,11,NA,NA,NA,12.8319689131752,8.86075779733746,16.8031800290129,2.00029642374185,94.7767847280387
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,12,NA,NA,NA,8.17105091621012,2.94876528359881,13.3933365488214,2.63035603227775,94.4828458267207
