outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,18,NA,NA,62.32734975014052,4.782653327671035,119.87204617261
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,18,NA,NA,61.56215706002472,3.7693950171490513,119.35491910290038
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,19,NA,NA,63.86231206950356,3.754219295386165,123.97040484362095
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,19,NA,NA,63.09711937938776,2.77420680759532,123.4200319511802
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,20,NA,NA,65.3972743888666,2.7246575507764987,128.0698912269567
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,20,NA,NA,64.6320816987508,1.7752008848074825,127.48896251269412
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,21,NA,NA,66.93223670822964,1.6941015623160922,132.17037185414318
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,21,NA,NA,66.16704401811384,0.7728191025288567,131.56126893369884
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,22,NA,NA,68.46719902759268,0.6626640683895175,136.27173398679585
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,22,NA,NA,67.70200633747689,-0.232557170595868,135.63656984554964
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,23,NA,NA,70.00216134695575,-0.3695556874531718,140.37387838136465
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,23,NA,NA,69.23696865683993,-1.240602614664951,139.71453992834483
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,24,NA,NA,71.53712366631878,-1.4024788882418733,144.4767262208794
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,24,NA,NA,70.77193097620298,-2.2510448686354465,143.79490682104142
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,25,NA,NA,73.07208598568182,-2.4360327425350476,148.5802047138987
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,25,NA,NA,72.30689329556603,-3.263636889762722,147.87742348089478
