outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,DST,NA,NA,NA,33.97218735323928,20.404065351021195,47.54030935545736
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,NoDST,NA,NA,NA,33.206994663123474,16.905717005898246,49.5082723203487
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,DST,NA,NA,NA,36.08806930142505,24.21134730014535,47.964791302704754
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,NoDST,NA,NA,NA,35.322876611309255,20.419208760103253,50.22654446251526
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,DST,NA,NA,NA,32.760312547444,20.756364926114003,44.764260168774
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,NoDST,NA,NA,NA,31.99511985732821,16.97930853232095,47.01093118233546
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,DST,NA,NA,NA,35.49896259440004,22.709777171446326,48.288148017353755
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,NoDST,NA,NA,NA,34.73376990428424,18.886719734913623,50.58082007365485
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,DST,NA,NA,NA,33.003153321207215,19.587542977224548,46.418763665189886
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,NoDST,NA,NA,NA,32.23796063109142,15.935367907771976,48.54055335441086
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,DST,NA,NA,NA,34.49407404498994,20.939990388744924,48.04815770123495
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,NoDST,NA,NA,NA,33.72888135487413,17.43927637266569,50.01848633708258
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,07,DST,NA,NA,NA,29.26012514983901,16.937945865122998,41.58230443455501
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,07,NoDST,NA,NA,NA,28.4949324597232,13.23928082192452,43.75058409752188
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,08,DST,NA,NA,NA,33.1373144902113,20.38259649963413,45.89203248078848
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,08,NoDST,NA,NA,NA,32.372121800095506,16.794167201026916,47.9500763991641
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,09,DST,NA,NA,NA,35.71570745050174,23.22906409809262,48.20235080291086
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,09,NoDST,NA,NA,NA,34.950514760385936,20.537435823908773,49.3635936968631
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,10,DST,NA,NA,NA,30.834701711043444,20.361561098868656,41.30784232321823
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,10,NoDST,NA,NA,NA,30.069509020927647,16.205396631430993,43.9336214104243
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,11,DST,NA,NA,NA,34.95804079539907,22.15785794292226,47.75822364787588
