outcome,outcome_type,outcome_variant,batch,model_method,model_file,estimate_DST,estimate_NoDST,nodst_minus_dst,contrast_scope,is_weekend_factor,month
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,8.688247307279658,12.289703615607772,3.601456308328114,overall,NA,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,8.682351828437811,12.26173262902893,3.579380800591119,overall,NA,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,23.182516744655302,21.26249619964025,-1.9200205450150527,overall,NA,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_dst_REML.rds,23.05349334330199,21.062649559113197,-1.9908437841887938,overall,NA,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,34.95804079539907,34.19284810528327,-0.7651926901158035,overall,NA,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,22.306167751728328,19.119162743884537,-3.1870050078437906,overall,NA,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,3.2058253022182295,6.807281610546343,3.6014563083281135,by_weekend,Weekday,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,8.688247307279658,12.289703615607772,3.601456308328114,by_weekend,Weekend,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,3.291811043537283,6.871191844128402,3.579380800591119,by_weekend,Weekday,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,8.682351828437811,12.26173262902893,3.579380800591119,by_weekend,Weekend,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,32.988820958426395,31.068800413411346,-1.9200205450150492,by_weekend,Weekday,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,23.182516744655302,21.26249619964025,-1.9200205450150527,by_weekend,Weekend,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_dst_REML.rds,33.118877888474856,31.128034104286066,-1.9908437841887903,by_weekend,Weekday,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_dst_REML.rds,23.05349334330199,21.062649559113197,-1.9908437841887938,by_weekend,Weekend,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,16.209032233593287,15.443839543477488,-0.7651926901157999,by_weekend,Weekday,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_dst_REML.rds,34.95804079539907,34.19284810528327,-0.7651926901158035,by_weekend,Weekend,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,33.543347922046635,30.356342914202845,-3.1870050078437906,by_weekend,Weekday,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_dst_REML.rds,22.306167751728328,19.119162743884537,-3.1870050078437906,by_weekend,Weekend,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,7.769280013070621,11.370736321398734,3.601456308328113,by_month,NA,01
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,8.322636921479724,11.924093229807838,3.601456308328114,by_month,NA,02
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,7.991287307509002,11.592743615837117,3.601456308328115,by_month,NA,03
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,10.787573467462307,14.38902977579042,3.601456308328112,by_month,NA,04
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,8.12635533823482,11.727811646562934,3.601456308328114,by_month,NA,05
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,10.53799386704497,14.139450175373083,3.601456308328114,by_month,NA,06
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,6.797235568434995,10.39869187676311,3.601456308328115,by_month,NA,07
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,10.394670326906722,13.996126635234836,3.601456308328114,by_month,NA,08
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,7.081907199347818,10.683363507675931,3.601456308328113,by_month,NA,09
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,8.633119389204246,12.23457569753236,3.601456308328114,by_month,NA,10
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,8.688247307279658,12.289703615607772,3.601456308328114,by_month,NA,11
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,4.036972380094359,7.638428688422471,3.601456308328112,by_month,NA,12
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,7.701198018148586,11.280578818739706,3.579380800591119,by_month,NA,01
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,8.252116482704892,11.831497283296011,3.579380800591119,by_month,NA,02
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,7.966129380506468,11.545510181097589,3.579380800591121,by_month,NA,03
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,10.731802151112014,14.311182951703136,3.5793808005911227,by_month,NA,04
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,8.072243517266372,11.651624317857491,3.579380800591119,by_month,NA,05
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,10.505234582057774,14.084615382648892,3.5793808005911174,by_month,NA,06
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,6.753111197983614,10.332491998574731,3.5793808005911174,by_month,NA,07
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,10.35465538868737,13.934036189278489,3.579380800591119,by_month,NA,08
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,7.046813740543506,10.626194541134623,3.5793808005911174,by_month,NA,09
duration,Duration,primary,dst,REML,duration_poly_interact_04_dst_REML.rds,8.59648713435552,12.17586793494664,3.579380800591119,by_month,NA,10
